,cliente_id,recommender,ndcg_score,proporcion_rock
272,DariusLux,"top_rating,listeners_1",0.0,0.6666666666666666
273,DariusLux,whoosh_based_1,0.0,0.0
274,DariusLux,surprise_based_1,0.0,0.5
275,daynaldr,top_listeners_1,0.0,1.0
276,daynaldr,top_rating_1,0.0,0.3333333333333333
277,daynaldr,"top_rating,listeners_1",0.0,0.6666666666666666
278,daynaldr,whoosh_based_1,0.0,1.0
279,daynaldr,surprise_based_1,0.0,0.3333333333333333
280,nanabc,top_listeners_1,0.0,1.0
281,nanabc,top_rating_1,0.0,0.3333333333333333
282,nanabc,"top_rating,listeners_1",0.0,0.6666666666666666
283,nanabc,whoosh_based_1,0.0,0.0
284,nanabc,surprise_based_1,0.0,0.5
285,LtJugger,top_listeners_1,0.0,1.0
286,LtJugger,top_rating_1,0.0,0.3333333333333333
287,LtJugger,"top_rating,listeners_1",0.0,0.6666666666666666
288,LtJugger,whoosh_based_1,0.0,1.0
289,LtJugger,surprise_based_1,0.0,0.6666666666666666
290,kelcri,top_listeners_1,0.0,1.0
291,kelcri,top_rating_1,0.0,0.3333333333333333
292,kelcri,"top_rating,listeners_1",0.0,0.6666666666666666
293,kelcri,whoosh_based_1,0.10778915452451093,1.0
294,kelcri,surprise_based_1,0.0,0.5
295,DistortionZero,top_listeners_1,0.0,1.0
296,DistortionZero,top_rating_1,0.0,0.3333333333333333
297,DistortionZero,"top_rating,listeners_1",0.0,0.6666666666666666
298,DistortionZero,whoosh_based_1,0.0,1.0
299,DistortionZero,surprise_based_1,0.0,0.5
300,gungh0,top_listeners_1,0.0,1.0
301,gungh0,top_rating_1,0.0,0.3333333333333333
302,gungh0,"top_rating,listeners_1",0.0,0.6666666666666666
303,gungh0,whoosh_based_1,0.0,0.3333333333333333
304,gungh0,surprise_based_1,0.0,0.5
305,martinsantista,top_listeners_1,0.0,1.0
306,martinsantista,top_rating_1,0.0,0.3333333333333333
307,martinsantista,"top_rating,listeners_1",0.0,0.6666666666666666
308,martinsantista,whoosh_based_1,0.0,0.5
309,martinsantista,surprise_based_1,0.0,0.5
310,lucy304,top_listeners_1,0.0,1.0
311,lucy304,top_rating_1,0.0,0.3333333333333333
312,lucy304,"top_rating,listeners_1",0.0,0.6666666666666666
313,lucy304,whoosh_based_1,0.0,0.0
314,lucy304,surprise_based_1,0.0,0.5
315,Shorty5,top_listeners_1,0.0,1.0
316,Shorty5,top_rating_1,0.0,0.3333333333333333
317,Shorty5,"top_rating,listeners_1",0.0,0.6666666666666666
318,Shorty5,whoosh_based_1,0.0,1.0
319,Shorty5,surprise_based_1,0.0,0.5
320,TheYassBladee,top_listeners_1,0.0,1.0
321,TheYassBladee,top_rating_1,0.0,0.3333333333333333
322,TheYassBladee,"top_rating,listeners_1",0.0,0.6666666666666666
323,TheYassBladee,whoosh_based_1,0.0,0.0
324,TheYassBladee,surprise_based_1,0.0,0.5
325,Josh_Sense,top_listeners_1,0.0,1.0
326,Josh_Sense,top_rating_1,0.0,0.3333333333333333
327,Josh_Sense,"top_rating,listeners_1",0.0,0.6666666666666666
328,Josh_Sense,whoosh_based_1,0.0,0.0
329,Josh_Sense,surprise_based_1,0.0,0.5
330,raskebukser,top_listeners_1,0.0,1.0
331,raskebukser,top_rating_1,0.0,0.3333333333333333
332,raskebukser,"top_rating,listeners_1",0.0,0.6666666666666666
333,raskebukser,whoosh_based_1,0.0,0.0
334,raskebukser,surprise_based_1,0.0,0.5
335,senhor_radio,top_listeners_1,0.0,1.0
336,senhor_radio,top_rating_1,0.0,0.3333333333333333
337,senhor_radio,"top_rating,listeners_1",0.0,0.6666666666666666
338,senhor_radio,whoosh_based_1,0.0,0.0
339,senhor_radio,surprise_based_1,0.0,0.3333333333333333
340,BladedQueen,top_listeners_1,0.0,1.0
341,BladedQueen,top_rating_1,0.0,0.3333333333333333
342,BladedQueen,"top_rating,listeners_1",0.0,0.6666666666666666
343,BladedQueen,whoosh_based_1,0.0,0.0
344,BladedQueen,surprise_based_1,0.0,0.5
345,nyork_binox,top_listeners_1,0.0,1.0
346,nyork_binox,top_rating_1,0.0,0.3333333333333333
347,nyork_binox,"top_rating,listeners_1",0.0,0.6666666666666666
348,nyork_binox,whoosh_based_1,0.0,0.0
349,nyork_binox,surprise_based_1,0.0,0.5
350,TonyProtest,top_listeners_1,0.0,1.0
351,TonyProtest,top_rating_1,0.0,0.3333333333333333
352,TonyProtest,"top_rating,listeners_1",0.0,0.6666666666666666
353,TonyProtest,whoosh_based_1,0.0,0.0
354,TonyProtest,surprise_based_1,0.0,0.5
355,misaeld7,top_listeners_1,0.0,1.0
356,misaeld7,top_rating_1,0.0,0.3333333333333333
357,misaeld7,"top_rating,listeners_1",0.0,0.6666666666666666
358,misaeld7,whoosh_based_1,0.0,0.5
359,misaeld7,surprise_based_1,0.0,0.3333333333333333
360,MyMediaMusic,top_listeners_1,0.0,1.0
361,MyMediaMusic,top_rating_1,0.0,0.3333333333333333
362,MyMediaMusic,"top_rating,listeners_1",0.0,0.6666666666666666
363,MyMediaMusic,whoosh_based_1,0.0,0.0
364,MyMediaMusic,surprise_based_1,0.0,0.5
365,Tom_Pullings,top_listeners_1,0.0,1.0
366,Tom_Pullings,top_rating_1,0.0,0.3333333333333333
367,Tom_Pullings,"top_rating,listeners_1",0.0,0.6666666666666666
368,Tom_Pullings,whoosh_based_1,0.0,0.0
369,Tom_Pullings,surprise_based_1,0.0,0.6666666666666666
370,ethmac007,top_listeners_1,0.0,1.0
371,ethmac007,top_rating_1,0.0,0.3333333333333333
372,ethmac007,"top_rating,listeners_1",0.0,0.6666666666666666
373,ethmac007,whoosh_based_1,0.0,1.0
374,ethmac007,surprise_based_1,0.0,0.5
375,Jammer44,top_listeners_1,0.0,1.0
376,Jammer44,top_rating_1,0.0,0.3333333333333333
377,Jammer44,"top_rating,listeners_1",0.0,0.6666666666666666
